recorded_at_utc,phase,poll_index,endpoint,url,status_code,success,ttfb_ms,total_time_ms,x_cache,age_header,observed_version,body_sha256,body_preview,error_message
2026-04-22T10:30:42Z,after_update_poll,7,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,890.825,890.828,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:30:43Z,after_update_poll,7,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,690.18,690.186,Miss from cloudfront,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:30:54Z,after_update_poll,8,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,1016.17,1016.171,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:30:54Z,after_update_poll,8,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,99.152,99.153,Hit from cloudfront,11,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:05Z,after_update_poll,9,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,905.801,905.803,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:05Z,after_update_poll,9,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,91.139,91.141,Hit from cloudfront,22,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:16Z,after_update_poll,10,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,960.976,960.979,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:16Z,after_update_poll,10,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,128.914,128.917,Hit from cloudfront,33,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:27Z,after_update_poll,11,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,1044.652,1044.653,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:28Z,after_update_poll,11,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,115.305,115.307,Hit from cloudfront,45,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:38Z,after_update_poll,12,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,882.277,882.278,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:31:39Z,after_update_poll,12,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,110.766,110.767,Hit from cloudfront,56,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
